"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"201","Filip Chytil","NYR","C","1","0.95","0.95","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"202","Neal Pionk","WPG","D","1","2.4333333333333","2.4333333333333","0","0","0","0","0","-","0","-","0.84","24.66","24.66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"203","Drake Batherson","OTT","R","1","3.8333333333333","3.8333333333333","0","0","0","0","0","-","0","-","0","15.65","0","0","0","0","0","0","0","0","0","0","0","0","0","15.65","0","0","0","0","-"
"204","Pius Suter","CHI","C","1","2","2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0.00"
"205","Oliver Wahlstrom","NYI","R","1","4.2833333333333","4.2833333333333","0","0","0","0","0","-","28.02","0.00","0.9","28.02","28.02","0","0","0","0","0","0","0","0","0","0","0","0","0","14.01","0","0","0","-"
"206","Philipp Kurashev","CHI","C","1","1.6333333333333","1.6333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"207","Quinn Hughes","VAN","D","1","1.0333333333333","1.0333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"208","Brady Tkachuk","OTT","L","1","4.0166666666667","4.0166666666667","0","0","0","0","0","-","44.81","0.00","5.42","44.81","44.81","44.81","29.88","0","0","0","0","0","0","0","0","0","0","0","0","0","29.88","14.94","995.85"
"209","K'Andre Miller","NYR","D","1","0.95","0.95","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"210","Filip Zadina","DET","R","1","3.8166666666667","3.8166666666667","15.72","0","0","0","15.72","100.00","15.72","100.00","2.04","15.72","15.72","15.72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"211","Jesperi Kotkaniemi","MTL","C","1","0.55","0.55","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"212","Andrei Svechnikov","CAR","R","1","1.6166666666667","1.6166666666667","37.11","0","0","0","37.11","100.00","37.11","100.00","2.51","37.11","37.11","0","0","0","0","0","0","0","0","0","0","37.11","0","0","0","0","0","0","-"
